code_module,code_presentation,n_sites,n_planned,n_types,planned_frac,planned_sites,min_week,max_week,mean_window,activity_types,n_assess,n_dated,n_tma,n_cma,n_exam,min_date,max_date,n_learners,n_has_reg,n_unreg,module_presentation_length,planned_identifiable,assessment_anchor_identifiable,registration_window_identifiable
AAA,2013J,211,3,9,0.014218009478672985,3.0,1.0,2.0,1.0,oucontent,6,5,5,0,1,19.0,215.0,383,383,60,268,False,True,True
AAA,2014J,202,3,9,0.01485148514851485,3.0,1.0,2.0,1.0,oucontent,6,5,5,0,1,19.0,215.0,365,365,66,269,False,True,True
BBB,2013B,315,0,10,0.0,,,,,,12,11,6,5,1,19.0,187.0,1767,1766,505,240,False,True,True
BBB,2013J,321,76,10,0.2367601246105919,76.0,1.0,28.0,1.0,"oucontent,resource,subpage,url",12,11,6,5,1,19.0,208.0,2237,2235,647,268,True,True,True
BBB,2014B,311,76,10,0.24437299035369775,76.0,1.0,28.0,1.0,"oucontent,resource,subpage,url",12,11,6,5,1,12.0,194.0,1613,1608,489,234,True,True,True
BBB,2014J,207,34,10,0.1642512077294686,34.0,1.0,9.0,1.0,"oucontent,quiz,resource,url",6,5,5,0,1,19.0,201.0,2292,2291,736,262,True,True,True
CCC,2014B,196,5,9,0.025510204081632654,5.0,1.0,9.0,2.2,oucontent,10,8,4,4,2,18.0,207.0,1936,1931,898,241,False,True,True
CCC,2014J,223,5,9,0.02242152466367713,5.0,1.0,9.0,2.2,oucontent,10,8,4,4,2,18.0,214.0,2498,2495,1049,269,False,True,True
DDD,2013B,428,0,11,0.0,,,,,,14,14,6,7,1,23.0,240.0,1303,1299,431,240,False,True,True
DDD,2013J,462,0,10,0.0,,,,,,7,7,6,0,1,25.0,261.0,1938,1933,684,261,False,True,True
DDD,2014B,453,1,10,0.002207505518763797,1.0,0.0,0.0,1.0,url,7,7,6,0,1,25.0,241.0,1228,1225,489,241,False,True,True
DDD,2014J,365,1,10,0.0027397260273972603,1.0,0.0,0.0,1.0,oucontent,7,6,6,0,1,20.0,195.0,1803,1800,631,262,False,True,True
EEE,2013J,112,26,11,0.23214285714285715,26.0,1.0,27.0,1.0,oucontent,5,5,4,0,1,33.0,235.0,1052,1050,243,268,True,True,True
EEE,2014B,109,26,11,0.23853211009174313,26.0,1.0,27.0,1.0,oucontent,5,5,4,0,1,33.0,228.0,694,694,173,241,True,True,True
EEE,2014J,115,27,11,0.23478260869565218,27.0,1.0,28.0,1.0,oucontent,5,5,4,0,1,33.0,235.0,1188,1188,302,269,True,True,True
FFF,2013B,508,25,14,0.04921259842519685,25.0,1.0,4.0,1.0,"oucontent,page,resource,subpage,url",13,13,5,7,1,19.0,222.0,1614,1611,411,240,False,True,True
FFF,2013J,529,283,16,0.5349716446124764,283.0,1.0,29.0,1.0,"dataplus,dualpane,oucontent,ouwiki,page,questionnaire,quiz,repeatactivity,resource,subpage,url",13,13,5,7,1,19.0,236.0,2283,2282,677,268,True,True,True
FFF,2014B,478,259,15,0.5418410041841004,259.0,1.0,29.0,1.0,"dataplus,dualpane,oucontent,ouwiki,page,questionnaire,quiz,resource,subpage,url",13,13,5,7,1,24.0,227.0,1500,1495,461,241,True,True,True
FFF,2014J,452,259,16,0.5730088495575221,259.0,1.0,29.0,1.0,"dualpane,oucontent,ouwiki,page,questionnaire,quiz,repeatactivity,resource,subpage,url",13,13,5,7,1,24.0,241.0,2365,2363,831,269,True,True,True
GGG,2013J,137,4,7,0.029197080291970802,4.0,1.0,3.0,1.0,resource,10,10,3,6,1,61.0,229.0,952,952,65,261,False,True,True
GGG,2014B,124,4,7,0.03225806451612903,4.0,1.0,3.0,1.0,resource,10,10,3,6,1,61.0,222.0,833,833,100,241,False,True,True
GGG,2014J,106,4,7,0.03773584905660377,4.0,1.0,3.0,1.0,resource,10,10,3,6,1,61.0,229.0,749,749,124,269,False,True,True
