code_module,presentation_a,presentation_b,n_overlap_weeks,spearman_rho,spearman_p,defined_ge4
AAA,2013J,2014J,2,0.9999999999999999,,False
BBB,2013J,2014B,1,,,False
BBB,2013J,2014J,1,,,False
BBB,2014B,2014J,1,,,False
CCC,2014B,2014J,4,1.0,0.0,True
EEE,2013J,2014B,19,0.8073717319582724,2.9292756398719436e-05,True
EEE,2013J,2014J,17,0.8406862745098039,2.377892428594587e-05,True
EEE,2014B,2014J,17,0.7549019607843138,0.00046029841254263784,True
FFF,2013J,2014B,20,0.8406015037593983,3.4837759296263637e-06,True
FFF,2013J,2014J,21,0.6857142857142857,0.000600843264112635,True
FFF,2014B,2014J,20,0.6496240601503759,0.0019353332844401446,True
